Title,Address,Phone,country_code,Website,Emails
Mandala Sutra and Consultants Kathmandu Branch,"Suruchi Marga, काठमाडौँ 44600",+9779802372333,977,https://msandconsultants.com,null
BEST Global Education Consultancy Kathmandu,"City Max, Cinema Hall, काठमाडौँ 44600",+9779841741400,977,https://bestglobal.com.au,null
सिलिकन एजुकेसन नेटवर्क,"Dilli Bazaar Main Road 15 mtrs from Ram Mandir to East Kathmandu, 44605",+97714544475,977,https://siliconedu.com,null
AAEC GLOBAL,काठमाडौँ 44600,+97715348043,977,https://aaecglobal.com,null
Big education consultancy,काठमाडौँ 44600,+97714585643,977,https://bigeducation.com.np,null
UniPort,"P84F+9JC, काठमाडौँ 44600",+97715911333,977,https://myuniport.com,null
StudyIn,"P84F+F5H, काठमाडौँ 44600",+97715903980,977,https://gostudyin.com,null
स्टार इन्टरनेसनल एजुकेसनल कन्सल्टेन्सी,काठमाडौँ 44600,+97714517044,977,https://sieceducation.edu.np,null
Espot International Education Consultancy,"Near Star Mall, हात्तीसार सडक, काठमाडौँ 44600",+97715332391,977,https://espotinternational.com,null
REACTION NEPAL CONSULTANTS PVT.LTD.,"पुतली सडक Chowk, काठमाडौँ 44600",+9779841114786,977,https://rnc.edu.np,null
SIEC Education Nepal | Study Abroad | Overseas Education Consultants,"Star Mall, Ward 30, काठमाडौँ 44600",+9779745623510,977,https://siecindia.com,null
Goes Educational Consultancy,"Putali Sadak 28, काठमाडौँ 44600",+97714523847,977,https://goes.edu.np,null
Bridge International Educational Consultancy - Kamaladi,"Hattisar Sadak, काठमाडौँ 44600",+97714544763,977,https://bridgeint.co.uk,null
360 Education Head Office ( Kamal Pokhari),"Ahead from VOTO Nepal, Kamal Pokhari, काठमाडौँ 44600",,NP,https://360education.global,null
"Westford Education - SAT, GRE, GMAT and IELTS Preparation in Nepal - Study Abroad Consultants","Ist Floor Raymond Shop Building, काठमाडौँ",+9779851111004,977,https://westfordedu.com,null
Incept Education Consultancy,"Putali Sadak 30, काठमाडौँ 44600",+97714547405,977,https://inceptedu.com,null
Pranjal Education Consultancy Pvt.Ltd.,"Putali Sadak Chowk, काठमाडौँ 44600",+97715320869,977,https://pranjal.edu.np,null
Bhadrakali Abroad Study - BAS,"Charkhal Rd, काठमाडौँ 44605",+9779802322165,977,https://bas.edu.np,null
बीएमडब्ल्यू शैक्षिक परामर्श,"to, Putali Sadak, काठमाडौँ 44600",+97714521293,977,https://bmwconsultancy.com,null
Franklin Education And Marketing Consultancy,"Krishna Pauroti Building, Kamal Pokhari St, काठमाडौँ 44600",+9779802365552,977,https://franklinedunp.com,null
Shikshya Sadan Education and Visa Services.,काठमाडौँ 44600,+97715902229,977,https://shikshyasadan.com,null
Atossc Nepal Pvt Ltd,"Ramshahpath, काठमाडौँ 44600",+97714538411,977,https://atossc.com.au,null
GIEC-Global Intake Education Consultancy,"Next to IT plaza, Kamaladi Rd, काठमाडौँ 44600",+97714547321,977,https://giecedu.com,null
Tilicho Consulting Group,"Near Star Mall, Dhobidhara Marg, काठमाडौँ 44600",+97715909443,977,https://tilicho.com.au,null
Mansfield Int'l Education Consultancy,काठमाडौँ 44600,+97715324182,977,https://mansfieldedu.com,null
Study Square Kathmandu,"Panch Marg, काठमाडौँ 44600",+97715970786,977,https://studysquare.com,null
CAN Consulting Services,"near, Putalisadak, Road, काठमाडौँ",+9779851038085,977,https://canconsultancy.com,null
KIEC,"KIEC Avenue 44/05, Lalupate Marg, काठमाडौँ 44600",+97714531221,977,https://kiec.edu.np,null
Limitless Int'l Education Consultancy Pvt. Ltd.,"P84F+599, Kathmandu Metropolitan City- 28, काठमाडौँ 44600",+97715907655,977,,null
Placements International Education & Migration Services,"Kamaladi Chowk, काठमाडौँ 44600",+97714540660,977,https://placementsedu.com,null
गुडविल कन्सल्ट,"P85F+JR3 Near Kumari Cinema, धोबी धारा मार्ग, कमल पोखरी 44600",+97714520764,977,https://goodwillconsult.com.np,null
Mayumi Consultancy Pvt. Ltd.,"पुतलीसडक मार्ग, काठमाडौँ 44600",+97714512143,977,https://facebook.com,null
Dream On Educational Consultancy Pvt. Ltd.,काठमाडौँ 44600,+97714523776,977,https://dreamoneducation.com,null
अर्बिट अन्तराष्ट्रिय शिक्षा,"P84F+88W, Way to, काठमाडौँ 44600",+97714530677,977,https://orbitedu.com,null
Edu-Bridge Consultancy,"Apex Building, First Floor, काठमाडौँ 44600",+9779808989012,977,https://edubridge.com.np,null
Idea Consultancy Services Pvt Ltd,काठमाडौँ 44600,+9779761799575,977,https://ideaconsultancyservices.com,null
Dream International Consultancy Pvt. Ltd.,"Bagbazar-28, काठमाडौँ 44600",+97715324877,977,https://dreamintconsultancy.com,null
प्राइम एजुकेशन इन्फर्मेसन सेन्टर,"Kamaladi Chowk, काठमाडौँ",+97714544900,977,https://primedu.com.np,null
ACM Global Kathmandu,काठमाडौँ 44600,,NP,https://acmglobal.com.np,null
Global Hub Educational Network,"Dhobidhara Road (30 Meters ahead from Star Mall towards Kumari Cinema, काठमाडौँ 44600",+97714012658,977,https://ghen.edu.np,null
TMS,"Lalupate Marg, काठमाडौँ 44600",+97714439182,977,https://tms.com.np,null
Globancy Education and Migration,"Ramshapath, काठमाडौँ 44600",+97715333289,977,https://globancy.com,null
Dynamic Universe Education,"P84F+639, काठमाडौँ 44600",+97715346319,977,https://dynamic.edu.np,null
मूल्य शिक्षा र भिषा सेवा,"Dilli Bazaar Rd, काठमाडौँ 44600",+97714531345,977,https://vevsglobal.com.np,null
Hub International Education,"हात्तिसार सडक, काठमाडौँ 44600",+97715342096,977,https://hubintlglobal.com,null
Second Half Education Consultancy,"Bhagawati Bahal, काठमाडौँ 44600",+97715911107,977,https://secondhalfedu.com,null
Take Me Away Educational Consultancy Pvt. Ltd.,"सिम्रिक मार्ग १, काठमाडौँ 44600",+97714527104,977,https://tma.edu.np,null
Miracle Career Consult,"Dilli Bazar Height Marg, काठमाडौँ 44600",+97714536022,977,https://miraclecareerconsult.com,null
Hi Tech International Educational Consultancy Dillibazaar kathmandu,"Putalisadak,Way to Dillibazar near Batuli house, काठमाडौँ 44600",+97714523592,977,https://hitechintl.edu.np,null
Global Dreams Educational Consultancy Pvt Ltd,"Putalisadak Chowk, Opposite of Agriculture Development Bank Ltd. Kathmandu 44600, काठमाडौँ",+97715320326,977,https://globaldreamedu.com,null
Eguras Consultings,"Kamal Pokhari St, काठमाडौँ 44600",+9779828364379,977,https://edu.eguras.com,null
CG Consultants,"Kalika Marg 4-32, काठमाडौँ 44600",+9779851347024,977,https://cgconsultants.com.np,null
International Education Consultancy - IEC,"Dhobidhara Marg, काठमाडौँ 46600",+9779823063820,977,,null
APACE INTERNATIONAL GROUP PVT. LTD.,"पुतली सडक, काठमाडौँ 44600",+97715362560,977,https://apaceinternational.edu.np,null
Rain Educational Consultancy,काठमाडौँ 44600,+97714010551,977,https://raineducation.edu.np,null
Shatakshee Educational Foundation,"Dilli Bazaar Rd, काठमाडौँ 44600",+97714543782,977,https://shatakshee.edu.np,null
Shine Educational Consultancy Pvt. Ltd.,काठमाडौँ 44600,+9779851082695,977,https://shineedu.com.np,null
Login Abroad Education Consultancy Pvt. Ltd.,काठमाडौँ 44600,+97715917446,977,https://loginabroad.edu.np,null
Grace International,काठमाडौँ 44600,+97715312374,977,https://graceintlgroup.com,null
आकाश शिक्षा कंसल्टेंसी प्रा। लिमिटेड,"Kamaladi Chowk, काठमाडौँ 44600",+97714012595,977,https://skyeducationnepal.com,null
एक पटक संस्थान,"Lalupate Marga, काठमाडौँ 44600",+97714520206,977,https://onceedu.com,null
Himalayan Education and consultant t/a Himalayan Business Group,"Ground Floor, Star Mall, Putali Sadak, काठमाडौँ",+9779841238224,977,https://himalayanbusiness.com,null
A Plus Educational Consultancy,"Opposite to Jaya Furniture, Dillibazar, Putalisadak Nearby by Ganesh Mandir, काठमाडौँ 44600",+9779801462651,977,https://education.aplustech.edu.np,null
North Easterns Education Consultancy Pvt Ltd,काठमाडौँ 44600,+97714771376,977,https://northeasternsedu.com,null
Albatross educational hub,"Dhobidhara Marg, काठमाडौँ 44600",+9779840015992,977,,null
Bon Consultancy,"P86F+2R9, काठमाडौँ 44600",+9779802335800,977,https://consultbon.com,null
सुरुवातमा शिक्षा कंसल्टेंसी,"44600, काठमाडौँ",+97714012608,977,https://startupconsultancy.edu.np,null
Study in India | Indo Global Foundation,"CRT Building, Putali Sadak, काठमाडौँ 44600",+9779851087225,977,https://indoglobal.com.np,null
BIZZ EDUCATION CONSULTANCY PVT. LTD.,काठमाडौँ 44600,+97714532205,977,https://bizzeducation.com,null
Sunrise Education Consultancy Pvt. Ltd,काठमाडौँ 44600,+97715328942,977,https://sunriseconsultancy.edu.np,null
Mantra Abroad Education,"Hattisar Sadak, काठमाडौँ 44600",+9779802353221,977,https://mantraeducation.com.au,null
Alight Group of Consultants,"Dilli Bazaar Sadak, काठमाडौँ 44600",+97714531435,977,https://alightgroup.org,null
OMG Education Services Pvt Ltd,"P84G+8J2, Charkhal Rd, काठमाडौँ 44600",+97714445436,977,,null
TEC,"Opposite to Padma Kanya Multiple Campus, Sallyan house, बाग बजार सडक, काठमाडौँ 44605",+97715342379,977,https://tec.edu.np,null
Real Dreams Consultancy Kathmandu,"Shrestha Photocopy Building, Postbox 7165, Putali Sadak 29, काठमाडौँ 00977",+97714525705,977,https://realdreamsedu.com,null
